postcode,easting,northing
CF104NL,319091,175477
CF104NN,319056,175378
CF104NP,319683,174653
CF104NQ,319684,174596
CF104NR,319775,174628
CF104NS,319688,174759
CF104PA,319454,174288
CF104PB,319463,174648
CF104PD,319568,174760
CF104PE,319568,174760
CF104PH,319291,174623
CF104PJ,319522,174565
CF104PL,319507,174514
CF104PZ,319275,174487
CF104QH,319177,174731
CF104QL,318757,175813
CF104QP,319513,174696
CF104QQ,319615,174837
CF104RA,319627,174781
CF104RB,319621,174754
CF104RD,319622,174706
CF104RE,319622,174657
CF104RF,319621,174612
CF104RG,319590,174566
CF104RH,319570,174605
CF104RP,320255,174309
CF104RT,319000,175921
CF104RU,319563,174658
CF104SF,319320,176190
CF104SP,320933,175058
CF104TR,320704,174926
CF104TS,320785,174809
CF104TT,319065,176058
CF104UP,318822,175868
CF104US,320673,174904
CF104UU,320673,174904
CF104UW,319284,175190
CF104WL,317180,174761
CF104WN,317180,174761
CF104WQ,317180,174761
CF104WR,317180,174761
CF104WS,317180,174761
CF104WZ,319405,174405
CF104XR,317180,174761
CF104XZ,320745,175178
CF104ZA,319284,175190
CF104ZN,317180,174761
CF105AB,319089,174582
CF105AD,319072,174659
CF105AE,319069,174768
CF105AF,319104,174787
CF105AG,319113,174746
CF105AH,319123,174731
CF105AJ,319118,174668
CF105AL,319291,174623
CF105AN,319152,174553
CF105AP,318986,174948
CF105AQ,319072,174659
CF105AR,319089,174588
CF105AU,318708,174712
CF105AX,318634,174665
CF105AY,319145,174526
CF105AZ,318576,175893
CF105BB,319031,174681
CF105BD,318876,174295
CF105BE,318832,174262
CF105BF,318446,175549
CF105BG,318669,174148
CF105BH,318347,175579
CF105BJ,318746,174268
CF105BL,318827,174310
CF105BN,319125,174598
CF105BP,319128,174659
CF105BQ,318855,174341
CF105BR,318841,174558
CF105BS,318942,174498
CF105BT,318425,175799
CF105BU,319059,174385
CF105BW,319027,174411
CF105BX,319140,174591
CF105BY,318996,174560
CF105BZ,319141,174473
CF105DB,318393,175828
CF105DE,318366,175664
CF105DF,318353,175198
CF105DJ,318248,175575
CF105DL,318145,175452
CF105DN,318206,175585
CF105DP,318957,174633
CF105DQ,318271,175542
CF105DR,318224,175497
CF105DS,318186,175633
CF105DT,318243,175434
CF105DU,318127,175540
CF105DW,318449,175617
CF105DX,318083,175389
CF105DY,318190,175428
CF105DZ,318655,174582
CF105EA,319036,174863
CF105EB,318946,174691
CF105EE,318991,174658
CF105EF,318873,174674
CF105EL,318836,174536
CF105EN,319052,174652
CF105EP,319017,174641
CF105EQ,319066,174697
CF105ER,319069,174602
CF105ES,319000,174671
CF105EW,318800,174647
CF105EX,319015,174622
CF105EY,318961,174623
CF105EZ,318873,174611
CF105FA,318655,174582
CF105FB,318633,174587
CF105FE,318629,175178
CF105FF,318585,175215
CF105FG,318835,174887
CF105FH,318940,174641
CF105FJ,318873,174674
CF105FL,319026,174742
CF105FP,318714,174567
CF105FQ,318892,174625
CF105FR,318765,174581
CF105FS,318717,175035
CF105FT,319052,174652
CF105FW,318811,174714
CF105FX,318450,175150
CF105FY,318804,174759
CF105FZ,318703,174485
CF105GA,318753,174508
CF105GB,318679,174438
CF105GE,318699,174462
CF105GF,318444,174400
CF105GG,318712,174473
CF105GJ,318590,174544
CF105GL,319074,174750
CF105GN,318716,174530
CF105GP,318176,175540
CF105GQ,318693,174410
CF105GR,318525,174478
CF105GS,318638,174522
CF105GT,318556,174441
CF105GU,318524,174450
CF105GW,318630,174435
CF105GX,318678,174528
CF105HA,318642,175684
CF105HB,318615,175646
CF105HE,318630,175473
CF105HF,318728,174459
CF105HG,318688,175511
CF105HH,318616,175529
CF105HJ,318584,175453
CF105HL,318743,175377
CF105HN,318785,175394
CF105HP,318892,175186
CF105HQ,318941,175090
CF105HR,318884,175216
CF105HS,318744,174512
CF105HU,318656,175505
CF105HW,318828,175292
CF105HX,318675,175381
CF105HY,318884,175209
CF105HZ,318718,175378
CF105JA,318738,175183
CF105JB,318805,175136
CF105JD,318844,175153
CF105JE,318765,175272
CF105JF,318765,175222
CF105JG,318765,175222
CF105JH,318806,175207
CF105JJ,318806,175207
CF105JL,318806,175207
CF105JP,318851,175212
CF105JR,318910,175009
CF105JT,318857,175123
CF105JU,318802,175102
CF105JW,318828,175024
CF105JY,318580,174434
CF105LB,318906,174947
CF105LD,318969,174852
CF105LE,319052,174845
CF105LF,319017,174888
CF105LG,318938,174756
CF105LH,319050,174802
CF105LJ,319065,174727
CF105LL,319025,174756
CF105LP,318909,175054
CF105LQ,318893,174735
CF105LR,318981,174752
CF105NB,318312,175465
CF105ND,318398,175263
CF105NE,318261,175305
CF105NF,318717,174795
CF105NG,318763,174764
CF105NH,318686,174886
CF105NJ,318744,174884
CF105NL,318674,174790
CF105NN,318616,174775
CF105NP,318591,174822
CF105NQ,318609,174888
CF105NR,318722,174960
CF105NS,318636,174975
CF105NT,318536,174990
CF105NU,318417,175016
CF105NW,318375,175005
CF105NX,318555,174957
CF105NY,318506,174941
CF105NZ,318548,174905
CF105PE,318663,175959
CF105RA,318161,175477
CF105RD,318550,175590
CF105RS,318109,175521
CF105RY,318143,175791
CF105SD,319019,174155
CF105SF,318946,174290
CF105SG,319001,174235
CF105TG,318300,175594
CF105TY,318662,175704
CF105UY,318443,174366
CF105WA,317180,174761
CF105WB,317180,174761
CF105WD,317180,174761
CF105WE,317180,174761
CF105WN,317180,174761
CF105WY,317180,174761
CF105WZ,317180,174761
CF105XR,317180,174761
CF105YF,317180,174761
CF105YT,317180,174761
CF105YX,317180,174761
CF105ZA,318264,175616
CF105ZB,317180,174761
CF105ZJ,317180,174761
CF105ZQ,317180,174761
CF110AA,317358,173322
CF110AB,317342,173343
CF110AD,317332,173364
CF110AE,317319,173382
CF110AF,317371,173293
CF110AG,317382,173271
CF110AH,317396,173245
CF110AJ,317403,173217
CF110AL,317417,173189
CF110AN,317447,173189
CF110AP,317545,173231
CF110AQ,317428,173267
CF110AR,317418,173314
CF110AS,318258,173426
CF110AT,318291,173440
CF110AU,318289,173488
CF110AW,318325,173399
CF110AX,317722,172941
CF110AY,317739,172888
CF110AZ,317760,172865
CF110BA,317604,173318
CF110JA,317702,174290
